# REL-INTEGRATION-01 Git Cherry & Code Delta Analysis
Target Base: origin/student-directory-hardening (f42c2bc41cb2386afed52244c5355c31c8a91f96)
Generated: 2026-09-24T23:55:00Z

Total Branches Examined: 24
Genuinely Unmerged Branches with Code Delta: 21
Branches with Zero Code Delta (Already in Base / Superseded): 3

------------------------------------------------------------------------------------------------------------------------
BRANCH                                                        HEAD     MERGE-BASE  CHERRY(+)  DIFF STAT
------------------------------------------------------------------------------------------------------------------------
origin/audit/agent-a/AUD-ADMISSIONS-02-admissions-enrollment  5edc4ff  f42c2bc     1          19 files changed, 989 insertions(+)
origin/audit/agent-a/AUD-CREDENTIALS-01-cards-certificates    51a0573  f42c2bc     2          58 files changed, 2210 insertions(+), 170 deletions(-)
origin/audit/agent-a/AUD-FINANCE-01-student-billing-cashier   85f0571  f42c2bc     5          66 files changed, 2694 insertions(+), 293 deletions(-)
origin/audit/agent-a/AUD-HR-01-hr-payroll                     c6fb4b3  f42c2bc     2          22 files changed, 1849 insertions(+), 76 deletions(-)
origin/audit/agent-a/AUD-PARENT-01-parent-portal              8f7d980  f42c2bc     2          17 files changed, 245 insertions(+), 5 deletions(-)
origin/audit/agent-a/AUD-STUDENT-01-student-portal            348630d  f42c2bc     1          20 files changed, 863 insertions(+)
origin/audit/agent-b/AUD-RECEPTION-01                         d38140d  f42c2bc     2          69 files changed, 1602 insertions(+), 135 deletions(-)
origin/audit/agent-b/AUD-SAFETY-01                            a68d644  f42c2bc     4          68 files changed, 1715 insertions(+), 20 deletions(-)
origin/audit/agent-b/AUD-TEACHER-01                           05d907a  f42c2bc     3          106 files changed, 2226 insertions(+), 287 deletions(-)
origin/audit/agent-c/AUD-ANALYTICS-01-analytics-direction     e8a9e36  f42c2bc     2          26 files changed, 548 insertions(+), 33 deletions(-)
origin/audit/agent-c/AUD-CALENDAR-01-events-calendar          a37ecc2  f42c2bc     2          19 files changed, 516 insertions(+), 3 deletions(-)
origin/audit/agent-c/AUD-COMMS-01-communication-documents     f8bee5f  f42c2bc     2          52 files changed, 898 insertions(+), 15 deletions(-)
origin/audit/agent-c/AUD-CRM-01-crm-inquiries                 5497a01  f42c2bc     2          17 files changed, 509 insertions(+), 51 deletions(-)
origin/audit/agent-c/AUD-LIBINV-01-library-inventory          26a4f7b  f42c2bc     2          42 files changed, 755 insertions(+), 25 deletions(-)
origin/audit/agent-c/AUD-OPS-01-transport-hostel              c44d20f  f42c2bc     2          64 files changed, 1056 insertions(+), 14 deletions(-)
origin/audit/agent-c/AUD-PLATFORM-01-platform-entitlements   8cdf9d3  f42c2bc     3          26 files changed, 858 insertions(+), 26 deletions(-)
origin/audit/agent-c/AUD-PUBLIC-01-public-admissions         a509402  f42c2bc     2          24 files changed, 590 insertions(+), 7 deletions(-)
origin/audit/agent-c/AUD-SUPPORT-RECEPTION-01-support-rec     3298b13  f42c2bc     2          18 files changed, 569 insertions(+), 7 deletions(-)
origin/audit/agent-c/FIX-DASH-FIN-KPI-01-dashboard-finance   8203068  f42c2bc     2          14 files changed, 483 insertions(+), 3 deletions(-)
origin/audit/agent-d/AUD-CONTENT-01-attachments-book         b71022c  f42c2bc     1          17 files changed, 1455 insertions(+), 6 deletions(-)
origin/audit/agent-d/AUD-LIVE-01-live-classrooms             7a2c36f  f42c2bc     2          23 files changed, 1838 insertions(+), 1 deletion(-)
origin/audit/agent-d/AUD-SETTINGS-01-users-roles-org         127d5be  f42c2bc     2          50 files changed, 3998 insertions(+), 892 deletions(-)
audit/agent-b/AUD-WEBSITE-01 (local WIP)                      6f3b143  f42c2bc     1          18 files changed, 440 insertions(+), 31 deletions(-)
origin/agentb/academics-audit                                 f42c2bc  f42c2bc     0          0 files changed (IDENTICAL TO BASE)
origin/integration/academic-structure-audit                   baba4f1  baba4f1     0          0 files changed (IDENTICAL TO BASE)
origin/integration/attendance-on-student-directory           34c5ce1  34c5ce1     0          0 files changed (IDENTICAL TO BASE)
audit/agent-c/AUD-ADMISSIONS-STAFF-01-admissions-lifecycle   f42c2bc  f42c2bc     0          0 files changed (CONCEDED/MERGED TO BASE)
------------------------------------------------------------------------------------------------------------------------
