module_id,module_name,status,confidence,testing_status,evidence,known_limitations
1,Super Admin,Complete but insufficiently tested,High,No automated tests found,"super-admin-school-detail-view.tsx consolidated per plan; plan-limits-service.ts enforces student caps; addon-catalog.ts now DB-driven (migration 0126)",Santé & Infrastructure page still ComingSoonView stub; dashboard has no drill-down/alerting
2,Students,Complete but insufficiently tested,High,No automated tests found,"students-list-client.tsx real pagination+sticky; admission-requests-client.tsx has real edit dialog; student-admission-view.tsx guardian fields fixed",No row-level action buttons on directory table; no photo gallery (single photoUrl field only)
3,Alumni,Partially complete,High,No automated tests found,"alumni-transition.ts transition logic real; alumni-requests-view.tsx now a real 5-stage kanban (migration 0127)",No scheduled auto-transition trigger; fully manual today
4,Events,Partially complete,High,No automated tests found,"events-calendar-client.tsx real list/create; event-admin-detail-view.tsx new file created but 2 TypeScript errors found in [id]/route.ts and attachments/route.ts this session",Edit route has active compile errors as of 2026-08-24 audit; public-site consumer for visibility=public not confirmed built
5,Student Requests / Demand,Complete and verified,Medium,No automated tests found,"Superseded by Alumni kanban rebuild (module 3) - see EXECUTION-AUDIT-VERIFIED.md",Scope was originally alumni-requests-only per 2026-08 review; broader student-services queue not built
6,Academics,Partially complete,Medium,No automated tests found,"PRODUCT-REVIEW-AND-FIXES.md + EXECUTION-AUDIT-VERIFIED.md; class-subjects join fixed; promotion-wizard section bug fixed; readiness ratio bug fixed",Class-creation bundle (bulk sections/teacher-assignment/availability/calendar) not built; per-class period-mode not built; auto-timetable solver not built; auto-fix conflict suggestions not built; substitute-teacher workflow not built
7,Personnel / HR (teacher directory),Complete and verified,High,No automated tests found,teacher-admin-detail-view.tsx new admin-only component confirmed real with salary/emploi/documents sections; teachers-manage-view.tsx form expanded with hireDate/salary/cin,Superseded in practice by the newer HR module (module 17) for most workflows
8,Attendance,Complete but insufficiently tested,High,No automated tests found,attendance-excuses-view.tsx wired to real API; attendance-scanner-kiosk.tsx has real camera capture (getUserMedia); attendance-flag-detail-view.tsx has real SMS compose,attendance-audit-view.tsx still unpaginated/unstructured; no general teacher-communication action beyond one specific reminder
9,Documents - Cards & Convocations,Partially complete,Medium,No automated tests found,normalizeBasePdf() fix confirmed in document-studio/render.ts; cards/students pagination confirmed,No card-issuance entry point on student/employee profile pages; no auto-emission trigger; no class/section bulk-select for convocations
10,Examinations / Assessment,Partially complete,Medium,No automated tests found,exam-planning-client.tsx and evaluations-client.tsx exist as real dropdown-based replacements for raw UUID input; homework grading ownership check confirmed real,homework-service.ts has an active TypeScript compile error (invalid leftJoin import) as of 2026-08-24; no teacher question bank for devoirs; correction sidebar still not virtualized
11,Events - Additional Findings,See module 4,High,No automated tests found,Same evidence as module 4,Same as module 4
12,Library / Bibliotheque,Partially complete,High,No automated tests found,"Sidebar renamed to Médiathèque resolving naming collision; content/types/page.client.tsx has real slugify+archive/restore",content/assets/[id]/route.ts still GET-only - no resource edit capability
13,Finance,Complete but insufficiently tested,High,No automated tests found,"Accounting subledger (transactions/statements/periods/student-accounting) all confirmed real; journal/voucher dropdowns fixed; Chart of Accounts drill-down wired; Student Accounting plan self-reports Phases A-H complete",Office Accounting page still posts to the disconnected legacy route, not the GL-wired /api/finance/expenses route - needs a product decision; no receipt-upload input; Collection Desk has no class/section filter
14,Inventory & School-Shop Addon,Complete and verified,Medium,No automated tests found,Confirmed real in original 2026-08 review; no regressions found this session,Reorder-point/auto-purchase-suggestion automation not built (route exists per git log 08-24 but not independently verified)
15,Broadcast / Communication,Complete but insufficiently tested,High,No automated tests found,"ADDON_NOT_ACTIVATED now surfaced as distinct UI state across all Broadcast sub-views per EXECUTION-AUDIT-VERIFIED.md; webhook-provider.ts confirmed a real outbound HTTP adapter",Three historically-disconnected messaging systems (SMS Communication/Lead CRM/Broadcast) - consolidation status not re-verified this session
16,Report Cards / Bulletins,Complete but insufficiently tested,High,No automated tests found,"report-card-generator-view.tsx has real batchCards state and scoped @media print stylesheet; report-card-service.ts and report-card-document-service.ts are new files per 08-24 commit",Coefficient hardcoded to 1 in original finding - not re-verified this session
17,HR / Personnel - Payroll & Self-Service,Complete but insufficiently tested,High,No automated tests found,"payroll-workspace.tsx: 5 of 6 flagged sub-pages now have real CRUD forms per EXECUTION-AUDIT-VERIFIED.md; self-service eligibility gating via /api/hr/me/self-service-eligibility confirmed real",employeeId-vs-userId join gap for payslips/punches on employees with no linked login account not confirmed resolved
18,Securite & Gardiens (Guard Portal),Complete but insufficiently tested,High,No automated tests found,guard-incidents-view.tsx setCreating(true) and Reouvrir button both confirmed added,Urgence sidebar item still lacks the requested high-visibility styling
19,Hostel / Internat,Complete but insufficiently tested,High,No automated tests found,"tonight-view.tsx search wired; roll-call-service.ts hostel join added; hostel-policies-view.tsx escalation tiers editable; hostel-reports-view.tsx state=all fix self-reported complete 2026-08-24 (not independently re-verified this audit pass)",General UI-polish requests across Zones/Categories/Chambers not addressed (cosmetic only)
20,Transport,Complete and verified,High,No automated tests found,"api/transport/policies/route.ts real GET/PUT confirmed; 13 pages now exist (up from 11), 2 new guardian/student self-service pages not independently audited",New guardian/student portal pages (added 08-24) not independently verified
21,Reports & Analytics,Complete and verified,Medium,No automated tests found,Confirmed real 27-report catalog in original 2026-08 review; no regressions found this session,In-process background execution has no crash-recovery for stuck jobs
22,Settings,Complete and verified,High,No automated tests found,"All 30 pages confirmed real and guarded in original review; addon-catalog.ts confirmed DB-driven this session, closing the one remaining open item",Entitlements-catalog create-UI for a brand-new addon type not confirmed to exist despite the read side being DB-driven
23,Student Accounting (separate deep-rebuild plan),Complete but insufficiently tested,Low,No automated tests found (4 vitest files exist: currency.test.ts gateway-session.test.ts journal-export.test.ts payment-method-config.test.ts - not run this session),"Self-reported Phases A-H complete in future-implementation/student-accounting/STUDENT-ACCOUNTING-ENHANCEMENT-PLAN.md, migrations 0118-0127 exist","Self-reported by the same agent whose work this document is auditing - not independently re-verified line by line this pass. Live payment-gateway/ERP-export certification explicitly deferred pending merchant credentials per the plan doc itself"
24,TypeScript Build Health,Broken,High,"npm run check:types run this session - FAILED with 3 errors","src/app/api/addons/events/[id]/attachments/route.ts:95, src/app/api/addons/events/[id]/route.ts:55, src/features/assessment/services/homework-service.ts:16",P0 blocker - project does not currently compile cleanly
