priority,task,module,reason_it_remains,business_impact,technical_impact,dependencies,risk,recommended_owner,complexity,category
P0,Fix 3 active TypeScript compile errors (events attachments route; events [id] route; homework-service.ts leftJoin import),Events / Examinations,Introduced by recent Events-edit and homework work; never fixed post-commit,Blocks confidence in any build/deploy; a broken compile is the single highest-risk item in the repo right now,Type errors indicate a real logic bug in at least the homework-service case (leftJoin does not exist as a named drizzle-orm export - the code cannot run as written),None,High - build is currently broken,Any backend engineer,Small,Bugs
P0,Restore Postgres / docker-desktop and confirm all pending migrations (through 0127) apply cleanly,Infrastructure,Database was down at audit time,No feature can be verified end-to-end without this,Blocks all DB-touching tests and the production build,None,High - blocks all further verification,DevOps / whoever owns the local Docker environment,Small,Infrastructure and deployment
P0,Run the full test/build/migration suite once DB is restored and record real pass/fail results,All,Testing was blocked this audit pass,Cannot claim any readiness score with confidence until this runs,See test-results.csv,Postgres restored,Medium - current readiness scores rest partly on manual code review, not test runs,QA / any engineer,Small,Testing
P1,Decide and implement Office Accounting <-> real GL ledger connection,Finance,Explicitly flagged as needing a product decision before any code should change,Two disconnected expense pipelines mean financial reports can silently disagree,A third, unused route (/api/finance/expenses) already has the correct logic - low technical risk once decided,Product decision from repo owner,Medium - financial data integrity,Finance-savvy engineer + product owner,Small once decided,Product and business decisions requiring stakeholder input
P1,Add row-level action buttons to Students Directory table,Students,Never built,Every edit/delete requires selecting into the side panel first - real daily friction for admin staff,None,None,Low,Frontend engineer,Small,UX improvements
P1,Build student/employee photo gallery + multi-upload,Students,Requires a real data-model change (single photoUrl -> a photo collection table),Admin staff cannot review a student's photo history,New table + migration + UI,None,Low,Full-stack engineer,Medium,Missing features
P1,Build scheduled alumni auto-transition job,Alumni,No scheduled-job trigger exists; transition is fully manual today,Schools must remember to manually transition every graduating cohort,Reuse existing scheduled-jobs-service.ts pattern already used elsewhere,None,Low - opt-in setting recommended given it changes login access,Backend engineer,Medium,Missing features
P1,Build full Events edit page + attachments API + public-site consumer,Events,Largest single unbuilt item in the whole review; only publish/cancel mutations exist today,Admins cannot correct a mistake on a published event without deleting and recreating it,eventAttachments table exists unused; visibility=public flag has zero consumers,None,Medium - user-visible gap,Full-stack engineer,Large,Missing features
P1,Fix Office Accounting receipt-upload input,Finance,receiptUrl field exists in the API type but no UI ever sets it,Expense records can never be substantiated with a receipt image,File-storage helper already exists elsewhere in the app to reuse,Depends on the P1 ledger decision above for full value,Low,Frontend engineer,Small,Missing features
P1,Add class/section bulk-select for convocations,Documents/Cards,Flat student list only; no class-level selection,Issuing exam convocations for a whole class requires selecting students one by one,/api/students?classSectionId= pattern already used elsewhere,None,Low,Frontend engineer,Small,UX improvements
P1,Add card-issuance entry point on student/employee profile pages,Documents/Cards,No entry point exists outside the flat issuance lists,Minor daily-workflow friction for office staff,issueDocument() service already works and just needs a new call site,None,Low,Frontend engineer,Small,UX improvements
P2,Class-creation bundle: bulk section count + inline teacher assignment + availability suggestions + weekly calendar preview,Academics,Bundles 3 separate features; always scoped as the largest Academics item,Meaningful time savings for admins setting up a new academic year,Requires a new teacherAvailability table,None,Medium,Full-stack engineer,Large,Missing features
P2,Per-class period-mode (semester/trimester/month),Academics,Requires a real schema change touching multiple downstream screens,Some schools legitimately need mixed period structures across classes,Touches class-creation, timetable, and grade-calculation screens simultaneously,None,Medium - schema risk,Senior backend engineer,Large,Missing features
P2,Auto-generate full-year timetable (constraint solver),Academics,No solver exists; only manual slot-by-slot entry,Large time savings once built; not required for basic operation,Can reuse existing assertSlotIsValid conflict rules,None,Medium,Backend engineer with algorithms experience,Large,Missing features
P2,Timetable conflict auto-fix suggestions,Academics,Resolve currently just deep-links to manual editing,Nice-to-have efficiency improvement,Can reuse assertSlotIsValid to verify suggestions before presenting,None,Low,Backend engineer,Medium,Missing features
P2,Exam question bank: auto-build variations + difficulty-capped composition,Examinations,Genuinely new feature; difficulty categorization already exists as the input data,Reduces teacher prep time for creating exam variants,None,None,Low,Backend engineer,Medium,Missing features
P2,Session-copy full editable JSON preview,Academics,Only request-body JSON exists today, not a user-facing preview,Lets admins make small corrections before committing a session copy,Check what the existing preview endpoint already returns first,None,Low,Frontend engineer,Small,UX improvements
P2,Substitute-teacher workflow,Academics,class_teachers.role already supports it in schema but nothing uses it,Real operational need for schools (teacher absences happen weekly),Ideally ties into an absence-tracking system that may not fully exist yet,Confirm whether HR leave-request data can drive this,Low,Full-stack engineer,Medium,Missing features
P2,Academic readiness dashboard: drill-down + historical trend,Academics,Cosmetic/analytics gap, not a functional bug,Helps admins act on readiness gaps faster,Needs a new snapshot table for trend data,None,Low,Full-stack engineer,Medium,UX improvements
P2,Attendance audit page restructure (pagination/grouping) + general teacher-communication action,Attendance,Only one narrow reminder action exists; page is one long unstructured list,Daily-use page for attendance officers; current UX creates friction at scale,Reuses existing smsMessages/notification pattern,None,Low,Frontend engineer,Medium,UX improvements
